Latitude,Longitude,Number,Road,Locality,Post town,Admin area level 3,Admin area level 2,Admin area level 1,Postcode,Country
54.539305,-1.059416,4,Raithwaite Close,Guisborough,Guisborough,,Redcar and Cleveland,,TS14 6TH,United Kingdom
54.521878,-1.214142,1,Dalby View,Coulby Newham,Middlesbrough,,Middlesbrough,,TS8 0XR,United Kingdom
54.552198,-1.298642,82,Roseberry View,Thornaby,Stockton-on-Tees,,Stockton-on-Tees,,TS17 7HS,United Kingdom
54.555573,-1.321582,34,Richardson Road,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS18 3LL,United Kingdom
54.566899,-1.142084,283,Fabian Road,,Middlesbrough,,Redcar and Cleveland,,TS6 7RL,United Kingdom
54.575253,-1.339903,31,Newstead Avenue,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS19 0TB,United Kingdom
54.544593,-1.217819,51,Brettenham Avenue,Middlesbrough,Middlesbrough,,Middlesbrough,,TS4,United Kingdom
54.606651,-1.286451,146,Kennedy Gardens,Stockton-on-Tees,Billingham,,Stockton-on-Tees,,TS23 3RH,United Kingdom
54.5813,-0.980808,10,Ruskin Avenue,Saltburn-by-the-Sea,Saltburn-by-the-Sea,,Redcar and Cleveland,,TS12 1QB,United Kingdom
54.650457,-1.240529,25-28,Crowland Road,Hartlepool,Hartlepool,,Hartlepool,,TS25,United Kingdom
54.61308,-1.280322,112,Knole Road,Stockton-on-Tees,Billingham,,Stockton-on-Tees,,TS23 3BG,United Kingdom
54.661257,-1.456765,,A177,,Stockton-on-Tees,,County Durham,,TS21,United Kingdom
54.57887,-1.047454,8,Hunstanton Grove,New Marske,Redcar,,Redcar and Cleveland,,TS11 8JY,United Kingdom
54.680711,-1.209626,189B,Burbank Street,Hartlepool,Hartlepool,,Hartlepool,,TS24 7JW,United Kingdom
54.622228,-1.273438,227,Low Grange Avenue,Stockton-on-Tees,Billingham,,Stockton-on-Tees,,TS23 3NB,United Kingdom
54.555739,-1.181502,9,Cadwell Close,Middlesbrough,Middlesbrough,,Middlesbrough,,TS3 0QE,United Kingdom
54.671986,-1.223102,52,Fernwood Avenue,Hartlepool,Hartlepool,,Hartlepool,,TS25 5LU,United Kingdom
54.468841,-1.19993,111,Sowerby Crescent,Stokesley,Middlesbrough,,North Yorkshire,,TS9 5EF,United Kingdom
54.551032,-1.223483,3,The Gardens,Middlesbrough,Middlesbrough,,Middlesbrough,,TS4 3DS,United Kingdom
54.718839,-1.400123,4,Springdale Avenue,,Trimdon Station,,County Durham,,TS29 6AY,United Kingdom
54.61819,-1.077435,7,Hill Street,Redcar,Redcar,,Redcar and Cleveland,,TS10 1BU,United Kingdom
54.749836,-1.291784,9,Eighth Street,Blackhall Colliery,Hartlepool,,County Durham,,TS27 4EU,United Kingdom
54.571907,-1.207043,22,Pilkington Street,Middlesbrough,Middlesbrough,,Middlesbrough,,TS3 6JL,United Kingdom
54.703482,-1.241115,33,Merlin Way,Hartlepool,Hartlepool,,Hartlepool,,TS26 0RT,United Kingdom
54.616772,-1.059239,113,Lord Street,Redcar,Redcar,,Redcar and Cleveland,,TS10 3BW,United Kingdom
54.520278,-1.259763,4,Kelgate Terrace,Stainton,Middlesbrough,,Middlesbrough,,TS8 9BA,United Kingdom
54.561448,-1.322623,24,Egglestone Terrace,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS18 1JR,United Kingdom
54.529074,-1.216492,10,Alderwood,Coulby Newham,Middlesbrough,,Middlesbrough,,TS8 0SZ,United Kingdom
54.565413,-0.938864,50,Errington Street,Brotton,Saltburn-by-the-Sea,,Redcar and Cleveland,,TS12 2TA,United Kingdom
54.634441,-1.379361,,Brierley Drive,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS21 3HX,United Kingdom
54.569097,-1.241993,20,Romney Street,Middlesbrough,Middlesbrough,,Middlesbrough,,TS1 4NE,United Kingdom
54.57202,-1.320778,1,Orde Wingate Way,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS18 3GE,United Kingdom
54.695874,-1.184762,11-13,Northgate,Hartlepool,Hartlepool,,Hartlepool,,TS24 0JN,United Kingdom
54.57202,-1.320778,1,Orde Wingate Way,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS18 3GE,United Kingdom
54.549445,-1.24189,54,Tollesby Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS5 7PJ,United Kingdom
54.595749,-1.013232,61,The Headlands,Marske-by-the-Sea,Redcar,,Redcar and Cleveland,,TS11 7AG,United Kingdom
54.575852,-1.244942,84,Newport Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS1 5DG,United Kingdom
54.667811,-1.19163,6,Hornby Close,Seaton Carew,Hartlepool,,Hartlepool,,TS25 1XD,United Kingdom
54.544195,-1.242628,9,Askern Drive,Middlesbrough,Middlesbrough,,Middlesbrough,,TS5 7HZ,United Kingdom
